##Data analysis and visualization were performed with Cytoscape

node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Fgfr2	Jak2	10090.ENSMUSP00000112430	10090.ENSMUSP00000064394	0	0	0	0.608	0	0.082	0.9	0.165	0.916
Fgfr2	Plcb4	10090.ENSMUSP00000112430	10090.ENSMUSP00000105736	0	0	0	0	0	0	0.65	0.107	0.674
Fgfr2	Stat3	10090.ENSMUSP00000112430	10090.ENSMUSP00000120152	0	0	0	0	0	0.136	0	0.517	0.564
Fkbp5	Gclc	10090.ENSMUSP00000110440	10090.ENSMUSP00000034905	0	0	0	0	0.058	0	0	0.533	0.542
Fkbp5	Ppp3ca	10090.ENSMUSP00000110440	10090.ENSMUSP00000053101	0	0	0	0	0	0.444	0	0.081	0.467
Fkbp5	Zbtb16	10090.ENSMUSP00000110440	10090.ENSMUSP00000091374	0	0	0	0	0.343	0.065	0	0.469	0.645
Fkbp5	Hsp90aa1	10090.ENSMUSP00000110440	10090.ENSMUSP00000091921	0	0	0	0	0.199	0.668	0.5	0.994	0.999
Flnb	Myh9	10090.ENSMUSP00000052020	10090.ENSMUSP00000016771	0	0	0	0	0.137	0.09	0	0.657	0.707
Flnb	Vcl	10090.ENSMUSP00000052020	10090.ENSMUSP00000022369	0	0	0	0	0.194	0	0	0.978	0.982
Flnb	Itgav	10090.ENSMUSP00000052020	10090.ENSMUSP00000028499	0	0	0	0	0.098	0.236	0.65	0.196	0.78
Flnb	Tpm3	10090.ENSMUSP00000052020	10090.ENSMUSP00000113978	0	0	0	0	0.066	0	0	0.471	0.485
Flnb	Hsp90aa1	10090.ENSMUSP00000052020	10090.ENSMUSP00000091921	0	0	0	0	0.082	0.127	0	0.432	0.506
Flnb	Plec	10090.ENSMUSP00000052020	10090.ENSMUSP00000073124	0	0	0	0.549	0.128	0.042	0	0.592	0.629
Flnb	Msn	10090.ENSMUSP00000052020	10090.ENSMUSP00000113071	0	0	0	0	0.063	0	0	0.643	0.651
Flnb	Itga6	10090.ENSMUSP00000052020	10090.ENSMUSP00000107729	0	0	0	0	0.09	0.14	0.65	0.255	0.768
Fndc3b	Gas7	10090.ENSMUSP00000141620	10090.ENSMUSP00000104322	0	0	0	0	0	0.042	0	0.406	0.406
Fosb	Fosl1	10090.ENSMUSP00000003640	10090.ENSMUSP00000025850	0	0	0	0.808	0.187	0.094	0.9	0.985	0.998
Fosl1	Plaur	10090.ENSMUSP00000025850	10090.ENSMUSP00000002284	0	0	0	0	0.311	0	0	0.37	0.547
Fosl1	Serpine1	10090.ENSMUSP00000025850	10090.ENSMUSP00000039586	0	0	0	0	0.274	0	0	0.313	0.48
Fosl1	Stat3	10090.ENSMUSP00000025850	10090.ENSMUSP00000120152	0	0	0	0	0.064	0.101	0	0.481	0.525
Gclc	Hmox1	10090.ENSMUSP00000034905	10090.ENSMUSP00000005548	0	0	0	0	0.085	0.069	0	0.882	0.891
Gclc	Hspa5	10090.ENSMUSP00000034905	10090.ENSMUSP00000028222	0	0	0	0	0.125	0	0	0.346	0.403
Gclc	Sqstm1	10090.ENSMUSP00000034905	10090.ENSMUSP00000099835	0	0	0	0	0.086	0	0	0.446	0.471
Gclc	Txnrd1	10090.ENSMUSP00000034905	10090.ENSMUSP00000152046	0	0	0	0	0.288	0	0	0.775	0.833
Gclc	Gls	10090.ENSMUSP00000034905	10090.ENSMUSP00000110158	0	0	0	0	0.044	0	0.8	0.299	0.854
Gls	Hspa5	10090.ENSMUSP00000110158	10090.ENSMUSP00000028222	0	0	0	0	0.042	0	0	0.508	0.508
Hbegf	Plaur	10090.ENSMUSP00000025363	10090.ENSMUSP00000002284	0	0	0	0	0.229	0	0	0.298	0.436
Hbegf	Ptprk	10090.ENSMUSP00000025363	10090.ENSMUSP00000126279	0	0	0	0	0.057	0	0.4	0.091	0.44
Hbegf	Stat3	10090.ENSMUSP00000025363	10090.ENSMUSP00000120152	0	0	0	0	0.065	0	0	0.442	0.456
Hbegf	Serpine1	10090.ENSMUSP00000025363	10090.ENSMUSP00000039586	0	0	0	0	0.213	0	0	0.369	0.483
Hbegf	Zbtb16	10090.ENSMUSP00000025363	10090.ENSMUSP00000091374	0	0	0	0	0	0.168	0	0.442	0.515
Hbegf	Picalm	10090.ENSMUSP00000025363	10090.ENSMUSP00000146501	0	0	0	0	0	0	0.5	0.148	0.555
Hbegf	Hsp90aa1	10090.ENSMUSP00000025363	10090.ENSMUSP00000091921	0	0	0	0	0.041	0	0.5	0.17	0.567
Hmox1	Pecam1	10090.ENSMUSP00000005548	10090.ENSMUSP00000102408	0	0	0	0	0.041	0	0	0.443	0.443
Hmox1	Lmna	10090.ENSMUSP00000005548	10090.ENSMUSP00000029699	0	0	0	0	0.084	0.049	0	0.414	0.445
Hmox1	Selp	10090.ENSMUSP00000005548	10090.ENSMUSP00000123924	0	0	0	0	0.057	0.041	0	0.455	0.464
Hmox1	Jak2	10090.ENSMUSP00000005548	10090.ENSMUSP00000064394	0	0	0	0	0	0	0	0.464	0.464
Hmox1	Hsp90aa1	10090.ENSMUSP00000005548	10090.ENSMUSP00000091921	0	0	0	0	0	0	0	0.478	0.478
Hmox1	Serpine1	10090.ENSMUSP00000005548	10090.ENSMUSP00000039586	0	0	0	0	0.104	0	0	0.511	0.543
Hmox1	Mt2	10090.ENSMUSP00000005548	10090.ENSMUSP00000034214	0	0	0	0	0.086	0	0	0.535	0.557
Hmox1	Hspa5	10090.ENSMUSP00000005548	10090.ENSMUSP00000028222	0	0	0	0	0.057	0	0	0.594	0.6
Hmox1	Sqstm1	10090.ENSMUSP00000005548	10090.ENSMUSP00000099835	0	0	0	0	0.117	0.093	0	0.552	0.609
Hmox1	Txnrd1	10090.ENSMUSP00000005548	10090.ENSMUSP00000152046	0	0	0	0	0.13	0.064	0	0.724	0.756
Hmox1	Stat3	10090.ENSMUSP00000005548	10090.ENSMUSP00000120152	0	0	0	0	0.054	0	0.4	0.786	0.868
Hsp90aa1	Vcl	10090.ENSMUSP00000091921	10090.ENSMUSP00000022369	0	0	0	0	0.057	0	0	0.609	0.616
Hsp90aa1	Plxna2	10090.ENSMUSP00000091921	10090.ENSMUSP00000027952	0	0	0	0	0	0.072	0.5	0	0.516
Hsp90aa1	Hspa5	10090.ENSMUSP00000091921	10090.ENSMUSP00000028222	0	0.001	0	0	0.665	0.392	0	0.918	0.981
Hsp90aa1	Itgav	10090.ENSMUSP00000091921	10090.ENSMUSP00000028499	0	0	0	0	0	0	0.5	0.225	0.596
Hsp90aa1	Lmna	10090.ENSMUSP00000091921	10090.ENSMUSP00000029699	0	0	0	0	0.089	0.051	0	0.432	0.466
Hsp90aa1	Ppp3ca	10090.ENSMUSP00000091921	10090.ENSMUSP00000053101	0	0	0	0	0.055	0.098	0	0.372	0.418
Hsp90aa1	Jak2	10090.ENSMUSP00000091921	10090.ENSMUSP00000064394	0	0	0	0	0.08	0.139	0	0.669	0.715
Hsp90aa1	Ipo7	10090.ENSMUSP00000091921	10090.ENSMUSP00000081782	0	0	0	0	0.121	0.073	0	0.389	0.459
Hsp90aa1	Kdm6b	10090.ENSMUSP00000091921	10090.ENSMUSP00000091620	0.043	0	0	0	0.102	0.529	0	0.303	0.68
Hsp90aa1	Txnrd1	10090.ENSMUSP00000091921	10090.ENSMUSP00000152046	0.061	0	0	0	0.245	0	0	0.318	0.474
Hsp90aa1	Sqstm1	10090.ENSMUSP00000091921	10090.ENSMUSP00000099835	0	0	0	0	0.094	0	0	0.649	0.668
Hsp90aa1	Stat3	10090.ENSMUSP00000091921	10090.ENSMUSP00000120152	0	0	0	0	0.082	0.082	0	0.875	0.885
Hspa5	Myh9	10090.ENSMUSP00000028222	10090.ENSMUSP00000016771	0	0	0	0	0.053	0.261	0.72	0.274	0.838
Hspa5	Lmna	10090.ENSMUSP00000028222	10090.ENSMUSP00000029699	0	0	0	0	0.109	0	0	0.355	0.401
Hspa5	Txnrd1	10090.ENSMUSP00000028222	10090.ENSMUSP00000152046	0	0	0	0	0.248	0.052	0	0.309	0.464
Hspa5	Stat3	10090.ENSMUSP00000028222	10090.ENSMUSP00000120152	0	0	0	0	0.073	0.049	0	0.68	0.693
Hspa5	Sqstm1	10090.ENSMUSP00000028222	10090.ENSMUSP00000099835	0	0	0	0	0.091	0.553	0	0.706	0.87
Insr	Prkca	10090.ENSMUSP00000088837	10090.ENSMUSP00000062392	0	0	0	0.555	0	0.067	0	0.391	0.407
Insr	Jak2	10090.ENSMUSP00000088837	10090.ENSMUSP00000064394	0	0	0	0.567	0	0.209	0	0.275	0.402
Insr	Stat3	10090.ENSMUSP00000088837	10090.ENSMUSP00000120152	0	0	0	0	0.044	0.139	0	0.382	0.447
Insr	Sqstm1	10090.ENSMUSP00000088837	10090.ENSMUSP00000099835	0	0	0	0	0	0.168	0	0.456	0.528
Insr	Plcb4	10090.ENSMUSP00000088837	10090.ENSMUSP00000105736	0	0	0	0	0.043	0	0.65	0.121	0.68
Itga6	Vcl	10090.ENSMUSP00000107729	10090.ENSMUSP00000022369	0	0	0	0	0.09	0.064	0	0.386	0.431
Itga6	Itgav	10090.ENSMUSP00000107729	10090.ENSMUSP00000028499	0	0	0	0.708	0	0	0.72	0.706	0.914
Itga6	Plec	10090.ENSMUSP00000107729	10090.ENSMUSP00000073124	0	0	0	0	0.06	0	0.5	0.449	0.718
Itga6	Zbtb16	10090.ENSMUSP00000107729	10090.ENSMUSP00000091374	0	0	0	0	0	0	0	0.436	0.436
Itga6	Pecam1	10090.ENSMUSP00000107729	10090.ENSMUSP00000102408	0	0	0	0	0.1	0.086	0	0.661	0.696
Itgav	Plaur	10090.ENSMUSP00000028499	10090.ENSMUSP00000002284	0	0	0	0	0.091	0.045	0	0.635	0.655
Itgav	Vcl	10090.ENSMUSP00000028499	10090.ENSMUSP00000022369	0	0	0	0	0.097	0.072	0	0.533	0.575
Itgav	Serpine1	10090.ENSMUSP00000028499	10090.ENSMUSP00000039586	0	0	0	0	0.124	0	0	0.36	0.415
Itgav	Msn	10090.ENSMUSP00000028499	10090.ENSMUSP00000113071	0	0	0	0	0.154	0	0	0.347	0.424
Itgav	Ptprk	10090.ENSMUSP00000028499	10090.ENSMUSP00000126279	0	0	0	0	0.093	0.07	0	0.393	0.443
Itgav	Selp	10090.ENSMUSP00000028499	10090.ENSMUSP00000123924	0	0	0	0	0.05	0	0	0.54	0.545
Itgav	Pecam1	10090.ENSMUSP00000028499	10090.ENSMUSP00000102408	0	0	0	0	0.069	0.086	0.5	0.777	0.892
Jak2	Osmr	10090.ENSMUSP00000064394	10090.ENSMUSP00000022746	0	0	0	0	0.071	0.054	0.8	0.613	0.923
Jak2	Pim1	10090.ENSMUSP00000064394	10090.ENSMUSP00000024811	0	0	0	0	0.085	0.097	0	0.348	0.414
Jak2	Pecam1	10090.ENSMUSP00000064394	10090.ENSMUSP00000102408	0	0	0	0	0.092	0.076	0	0.352	0.408
Jak2	Msn	10090.ENSMUSP00000064394	10090.ENSMUSP00000113071	0	0	0	0	0.069	0.076	0	0.562	0.591
Jak2	Stat3	10090.ENSMUSP00000064394	10090.ENSMUSP00000120152	0	0	0	0	0.122	0.799	0.9	0.996	0.999
Jmjd1c	Kdm6b	10090.ENSMUSP00000056227	10090.ENSMUSP00000091620	0	0	0	0	0.07	0.061	0	0.497	0.523
Kdm6b	Stat3	10090.ENSMUSP00000091620	10090.ENSMUSP00000120152	0	0	0	0	0.108	0.086	0	0.383	0.453
Lmna	S100a6	10090.ENSMUSP00000029699	10090.ENSMUSP00000001051	0	0	0	0	0.224	0	0	0.397	0.512
Lmna	Myh9	10090.ENSMUSP00000029699	10090.ENSMUSP00000016771	0	0	0	0	0.151	0.124	0	0.405	0.519
Lmna	Vcl	10090.ENSMUSP00000029699	10090.ENSMUSP00000022369	0	0	0	0	0.088	0.067	0	0.51	0.547
Lmna	Stat3	10090.ENSMUSP00000029699	10090.ENSMUSP00000120152	0	0	0	0	0.074	0	0	0.391	0.413
Lmna	Pecam1	10090.ENSMUSP00000029699	10090.ENSMUSP00000102408	0	0	0	0	0	0.109	0	0.373	0.418
Lmna	Sqstm1	10090.ENSMUSP00000029699	10090.ENSMUSP00000099835	0	0	0	0	0.115	0.051	0	0.39	0.443
Lmna	Tpm3	10090.ENSMUSP00000029699	10090.ENSMUSP00000113978	0	0	0	0	0.124	0	0	0.411	0.462
Lmna	Sptan1	10090.ENSMUSP00000029699	10090.ENSMUSP00000121116	0	0	0	0	0.043	0.076	0	0.559	0.576
Lmna	Plec	10090.ENSMUSP00000029699	10090.ENSMUSP00000073124	0	0	0	0	0.17	0.087	0	0.641	0.704
Lmna	Prkca	10090.ENSMUSP00000029699	10090.ENSMUSP00000062392	0	0	0	0	0.068	0.102	0.5	0.503	0.764
Macf1	Vcl	10090.ENSMUSP00000095507	10090.ENSMUSP00000022369	0	0	0	0	0.06	0	0	0.623	0.63
Macf1	Sptan1	10090.ENSMUSP00000095507	10090.ENSMUSP00000121116	0	0	0	0.548	0.215	0.183	0	0.151	0.408
Macf1	Msn	10090.ENSMUSP00000095507	10090.ENSMUSP00000113071	0	0	0	0	0.106	0	0	0.477	0.513
Mef2a	Spag9	10090.ENSMUSP00000117496	10090.ENSMUSP00000042271	0	0	0	0	0.144	0	0.5	0.16	0.609
Mef2a	Tcf4	10090.ENSMUSP00000117496	10090.ENSMUSP00000110636	0	0	0	0	0.132	0	0.5	0	0.547
Mprip	Tpm3	10090.ENSMUSP00000071914	10090.ENSMUSP00000113978	0	0	0	0	0.046	0	0	0.521	0.523
Msn	Sptbn1	10090.ENSMUSP00000113071	10090.ENSMUSP00000006629	0	0	0	0	0.131	0.123	0.5	0.298	0.696
